Nama;Usia;Agama;Asal;Rating;Status;Sebagai;Pengalaman;Keterampilan1;Keterampilan2;Keterampilan3;Image;Gaji
Isabella;32;Katolik;Surabaya;5;Sudah Menikah;Babbysitter;4 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;28.png;Rp. 13.200.000
Freya;30;Islam;Malang;4;Belum Menikah;Babbysitter;2 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;29.png;Rp. 3.200.000
Aruna;28;Katolik;Jakarta;5;Sudah Menikah;Babbysitter;4 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;30.png;Rp. 3.200.000
Jesslyn;29;Islam;Bandung;5;Belum Menikah;Babbysitter;3 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;31.png;Rp. 3.200.000
Vida;40;Islam;Jakarta;5;Belum Menikah;Babbysitter;1 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;32.png;Rp. 3.200.000
Gwen;33;Islam;Yogyakarta;5;Sudah Menikah;Babbysitter;5 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;33.png;Rp. 3.200.000
Shopia;31;Kristen;Yogyakarta;5;Belum Menikah;Babbysitter;4 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;34.png;Rp. 3.200.000
Falerie;29;Kristen;Malang;4;Sudah Menikah;Babbysitter;2 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;35.png;Rp. 3.200.000
Aurora;30;Islam;Malang;5;Belum Menikah;Babbysitter;2 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;36.png;Rp. 3.200.000
Daisha;32;Islam;Bandung;5;Sudah Menikah;Babbysitter;3 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;37.png;Rp. 3.200.000
Hazel;31;Kristen;Jakarta;5;Belum Menikah;Babbysitter;5 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;38.png;Rp. 3.200.000
Ruby;24;Islam;Yogyakarta;5;Sudah Menikah;Babbysitter;1 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;39.png;Rp. 3.200.000
Dana;34;Kristen;Surabaya;5;Belum Menikah;Babbysitter;1 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;40.png;Rp. 3.200.000
Endah;54;Islam;Bandung;5;Sudah Menikah;Babbysitter;3 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;41.png;Rp. 3.200.000
Hera;43;Katolik;Jakarta;5;Belum Menikah;Babbysitter;2 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;42.png;Rp. 3.200.000
Kamala;28;Islam;Bandung;5;Belum Menikah;Babbysitter;7 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;43.png;Rp. 3.200.000
Mustika;43;Islam;Malang;5;Sudah Menikah;Babbysitter;8 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;44.png;Rp. 3.200.000
Nadie;32;Kristen;Surabaya;5;Belum Menikah;Babbysitter;4 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;45.png;Rp. 3.200.000
Rani;30;Islam;Jakarta;5;Sudah Menikah;Babbysitter;4 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;46.png;Rp. 3.200.000
Tiana;29;Islam;Surabaya;5;Sudah Menikah;Babbysitter;5 Tahun;Menjaga Bayi; Menidurkan Bayi; Mengajari Bayi;47.png;Rp. 3.200.000
